scene_id,dataset_version,building_id,condition,evaluation_status,absolute_iou,translation_aligned_iou,absolute_f1,translation_aligned_f1,bbox_dimension_mae,centroid_distance,diagnostic_aligned_iou_10,material_aware_iou,exact_position_material_f1,material_set_precision,material_set_recall,material_set_f1,material_histogram_similarity,dominant_material_accuracy,add_count,delete_count,replace_count,normalized_add_cost,normalized_delete_cost,normalized_replace_cost,total_normalized_repair_cost,alignment_shift_magnitude,alignment_shift_x,alignment_shift_y,alignment_shift_z,bbox_depth_error,bbox_height_error,bbox_width_error,description_model,empty_build,executor_status,failure_as_zero,overlap_position_material_agreement,representation,unsupported_command_rate
v1:building_077,v1,building_077,direct_image_to_build,success,0.07359874279727606,0.2873743718592965,0.1371066113686265,0.44645035374481584,3.6666666666666665,11.699224467830673,0.2873743718592965,0.018891374596072583,0.03708221517443279,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.446590973672535,1,1022,1247,668,0.5276200309757356,0.6437790397521941,0.3448631905007744,1.5162622612287042,,,,,,,,,,,,,,
v1:building_082,v1,building_082,direct_image_to_build,success,0.05232331120655994,0.26407129455909945,0.09944341372912802,0.4178107606679035,3.0,11.183560095171377,0.26407129455909945,0.0,0.0,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.47211453739598647,0,910,659,368,0.6177868295994569,0.44738628649015616,0.24983027834351662,1.3150033944331296,,,,,,,,,,,,,,
v1:building_086,v1,building_086,direct_image_to_build,success,0.03842428156280271,0.2450638792102207,0.07400497512437809,0.39365671641791045,3.6666666666666665,12.606363355681468,0.2450638792102207,0.0,0.0,0.875,0.875,0.875,0.32458280266799655,0,1238,712,564,0.6616782469267771,0.3805451630144308,0.3014430785676109,1.3436664885088188,,,,,,,,,,,,,,
v4:building_008,v4,building_008,direct_image_to_build,success,0.04177461139896373,0.18141755416819685,0.08019894311470314,0.30711843332297173,12.333333333333334,19.223662214067236,0.17494521548575603,0.0009334163036714375,0.0018650917003419335,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.5988784782408326,0,2459,1999,901,0.7133739483608935,0.5799245720916739,0.26138671308384104,1.5546852335364085,,,,,,,,,,,,,,
v4:building_009,v4,building_009,direct_image_to_build,success,0.03996524761077324,0.22039082412914188,0.07685881370091897,0.3611807296017822,7.666666666666667,18.93383482178188,0.1948095158875395,0.0032127392093867857,0.006404901141743247,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.3651383202591721,0,1616,2972,1153,0.5547545485753519,1.0202540336422932,0.3958118777892207,1.9708204600068657,,,,,,,,,,,,,,
v4:building_019,v4,building_019,direct_image_to_build,success,0.03555718475073314,0.253049456642271,0.06867256637168143,0.40389380530973445,6.333333333333333,16.438682127595946,0.253049456642271,0.0,0.0,0.3076923076923077,0.5714285714285714,0.4,0.24911717640830666,1,1725,1643,858,0.6018841591067691,0.5732728541521284,0.29937194696441033,1.4745289602233078,,,,,,,,,,,,,,
v4:building_021,v4,building_021,direct_image_to_build,success,0.03226719501839796,0.11273836765827612,0.06251713737318344,0.20263230052097617,19.666666666666668,25.203583656396685,0.08865671641791045,0.005098525561526802,0.010145324924595559,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.41004056091224633,0,2664,3152,674,0.7828386717602116,0.9262415515721423,0.1980605348222157,1.9071407581545694,,,,,,,,,,,,,,
v4:building_044,v4,building_044,direct_image_to_build,success,0.004061110036743376,0.1504542432971416,0.008089368258859786,0.26155624036979974,11.666666666666666,23.052355103787555,0.11583924349881797,0.0,0.0,0.5,0.5,0.5,0.308995418482512,0,2461,1373,674,0.7837579617834395,0.4372611464968153,0.21464968152866243,1.435668789808917,,,,,,,,,,,,,,
v4:building_046,v4,building_046,direct_image_to_build,success,0.027145085803432136,0.1757142857142857,0.05285540704738761,0.29890643985419196,11.0,27.20388928494951,0.10026737967914438,0.010125805461798098,0.020048602673147023,0.75,1.0,0.8571428571428571,0.675725040375646,1,2042,4882,1194,0.5804434337691871,1.3877202956225128,0.33939738487777144,2.3075611142694714,,,,,,,,,,,,,,
v4:building_072,v4,building_072,direct_image_to_build,success,0.022787028921998246,0.3439539347408829,0.04455869751499571,0.5118537560696944,8.333333333333334,15.056394116657259,0.3439539347408829,0.0017167381974248926,0.003427592116538132,0.8,0.5714285714285714,0.6666666666666666,0.2708527979034087,0,886,823,874,0.49719416386083054,0.4618406285072952,0.4904601571268238,1.4494949494949494,,,,,,,,,,,,,,
v4:building_082,v4,building_082,direct_image_to_build,success,0.03666245259165613,0.3151563753007217,0.07073170731707318,0.4792682926829268,6.0,16.159990759001673,0.3046937151949085,0.01779064956557716,0.034959349593495934,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.49677808236832427,0,977,1585,922,0.45315398886827457,0.7351576994434137,0.42764378478664195,1.6159554730983303,,,,,,,,,,,,,,
